번호,사무소명,사무소주소,영업현황
95,대전종합부동산합동공인중개사사무소,"대전광역시 서구 문정로 148, 101호(탄방동,굿앤월드빌딩)",영업중
96,전원공인중개사사무소,"대전광역시 서구 월평중로 50, 101호 (월평3동, 전원(아))",영업중
97,SM 공인중개사사무소,대전광역시 서구 갈마로 237(괴정동),영업중
98,신바람공인중개사사무소,"대전광역시 서구 대덕대로 141-12, 1층(갈마2동)",영업중
99,한섭공인중개사사무소,"대전광역시 서구 신갈마로230번길 36, 101호( 갈마1동)",영업중
100,한아름공인중개사사무소,"대전광역시 서구 청사서로 65, 207호(월평동,한아름상가)",영업중
101,롯데마을공인중개사사무소,"대전광역시 서구 신갈마로 46, 상가108호(내동,롯데(아))",영업중
102,대상공인중개사사무소,대전광역시 서구 신갈마로 229( 갈마1동),영업중
103,프라임공인중개사사무소,"대전광역시 서구 둔산중로78번길 36, 606호 (둔산1동, 청우빌딩)",영업중
104,벽산마을공인중개사사무소,"대전광역시 서구 갈마로 262, 상가501-107(내동, 맑은아침(아))",영업중
105,황실공인중개사,"대전광역시 서구 청사로 65, 상가 108호 (월평3동, 황실타운)",영업중
106,도안리슈빌114공인중개사사무소,"대전광역시 서구 도안동로 123, 상가104호의 1/2 서측(도안동,도안리슈빌아파트)",영업중
107,금강공인중개사사무소,"대전광역시 서구 관저북로 92, 상가103호(관저1동,원앙마을2단지)",영업중
108,정다운공인중개사사무소,"대전광역시 서구 갈마역로11번길 5, 1층 (갈마1동)",영업중
109,케이티공인중개사사무소,"대전광역시 서구 둔산서로 65, 102호 (둔산2동, KT그랜드뷰)",영업중
110,건영공인중개사사무소,"대전광역시 서구 청사로 70, 상가 101호(월평3동,누리(아))",영업중
111,대승공인중개사사무소,"대전광역시 서구 정림로 73, 1층 우측(정림동)",영업중
112,두일공인중개사사무소,"대전광역시 서구 월평로 52, 1층(월평동)",영업중
113,장원공인중개사사무소,"대전광역시 서구 신갈마로 274, 1층(갈마1동)",영업중
114,일번지공인중개사사무소,"대전광역시 서구 문정로2번길 33, 103호(탄방동, 스위트빌2차)",영업중
115,넥서스공인중개사사무소,"대전광역시 서구 대덕대로 246, B동 104호 (둔산2동, 넥서스밸리)",영업중
116,부원공인중개사사무소,대전광역시 서구 월평중로3번길 46(월평1동),영업중
117,유진공인중개사사무소,대전광역시 서구 문정로170번길 184(둔산3동),영업중
118,뉴목련공인중개사사무소,"대전광역시 서구 둔산남로 127, 중앙상가 108호 (둔산1동, 목련(아))",영업중
119,김남진공인중개사사무소,"대전광역시 서구 문정로 66, 5층(탄방동)",영업중
120,둔산랜드공인중개사사무소,"대전광역시 서구 둔지로 64, 1층 (둔산2동)",영업중
121,우리마을공인중개사사무소,대전광역시 서구 배재로233번길 6(변동),영업중
122,김창덕공인중개사사무소,대전광역시 서구 문정로150번길 7(탄방동),영업중
123,부자터공인중개사사무소,"대전광역시 서구 계룡로615번길 42, 1층 정면좌측(탄방동)",영업중
124,더샵힘찬공인중개사사무소,"대전광역시 서구 구봉산북로 52, 상가동 103호(관저동, 관저더샵2차)",영업중
125,창대공인중개사사무소,"대전광역시 서구 둔산로 228, 1층 10-2호(둔산3동,둔산종합시장)",영업중
126,구봉마을공인중개사사무소,"대전광역시 서구 관저서로 52, 103호",영업중
127,솔로몬이편한공인중개사사무소,"대전광역시 서구 계룡로615번길 51, 101호",영업중
128,백향목공인중개사사무소,대전광역시 서구 배재로91번길 20(도마2동),영업중
129,행복한공인중개사사무소,"대전광역시 서구 갈마역로25번길 13, 1층(갈마동)",영업중
130,드림하우스공인중개사사무소,대전광역시 서구 월평서로25번길 29(월평1동),영업중
131,은하수공인중개사사무소,"대전광역시 서구 둔산남로 15, 상가105호(둔산2동,은하수(아))",영업중
132,대림공인중개사사무소,"대전광역시 서구 도솔로 137, 1층 101호(도마동)",영업중
133,대전베스트공인중개사사무소,"대전광역시 서구 동서대로 1045, 1층(내동)",영업중
